"None","Points:0","Points:1","Points:2"
56.427,5.7678e+05,3.8759e+06,-1e+05
57.201,5.8078e+05,3.8759e+06,-1e+05
58.177,5.8478e+05,3.8759e+06,-1e+05
59.319,5.8878e+05,3.8759e+06,-1e+05
60.709,5.9278e+05,3.8759e+06,-1e+05
62.58,5.9678e+05,3.8759e+06,-1e+05
64.671,6.0078e+05,3.8759e+06,-1e+05
67.196,6.0478e+05,3.8759e+06,-1e+05
70.432,6.0878e+05,3.8759e+06,-1e+05
74.494,6.1278e+05,3.8759e+06,-1e+05
78.671,6.1678e+05,3.8759e+06,-1e+05
84.026,6.2078e+05,3.8759e+06,-1e+05
88.495,6.2478e+05,3.8759e+06,-1e+05
89.688,6.2878e+05,3.8759e+06,-1e+05
87.519,6.3278e+05,3.8759e+06,-1e+05
82.203,6.3678e+05,3.8759e+06,-1e+05
71.212,6.4078e+05,3.8759e+06,-1e+05
63.963,6.4478e+05,3.8759e+06,-1e+05
56.043,6.4878e+05,3.8759e+06,-1e+05
54.695,6.5278e+05,3.8759e+06,-1e+05
54.317,6.5678e+05,3.8759e+06,-1e+05
54.286,6.6078e+05,3.8759e+06,-1e+05
50.767,6.6478e+05,3.8759e+06,-1e+05
48.757,6.6878e+05,3.8759e+06,-1e+05
47.497,6.7278e+05,3.8759e+06,-1e+05
51.411,6.7678e+05,3.8759e+06,-1e+05
57.825,6.8078e+05,3.8759e+06,-1e+05
64.093,6.8478e+05,3.8759e+06,-1e+05
69.535,6.8878e+05,3.8759e+06,-1e+05
73.728,6.9278e+05,3.8759e+06,-1e+05
52.907,4.1278e+05,3.8799e+06,-1e+05
56.198,4.1678e+05,3.8799e+06,-1e+05
58.068,4.2078e+05,3.8799e+06,-1e+05
58.488,4.2478e+05,3.8799e+06,-1e+05
58.637,4.2878e+05,3.8799e+06,-1e+05
58.608,4.3278e+05,3.8799e+06,-1e+05
58.525,4.3678e+05,3.8799e+06,-1e+05
58.247,4.4078e+05,3.8799e+06,-1e+05
57.913,4.4478e+05,3.8799e+06,-1e+05
57.641,4.4878e+05,3.8799e+06,-1e+05
57.292,4.5278e+05,3.8799e+06,-1e+05
56.971,4.5678e+05,3.8799e+06,-1e+05
56.615,4.6078e+05,3.8799e+06,-1e+05
56.304,4.6478e+05,3.8799e+06,-1e+05
56.005,4.6878e+05,3.8799e+06,-1e+05
55.708,4.7278e+05,3.8799e+06,-1e+05
55.43,4.7678e+05,3.8799e+06,-1e+05
55.175,4.8078e+05,3.8799e+06,-1e+05
54.924,4.8478e+05,3.8799e+06,-1e+05
54.662,4.8878e+05,3.8799e+06,-1e+05
54.44,4.9278e+05,3.8799e+06,-1e+05
54.254,4.9678e+05,3.8799e+06,-1e+05
54.068,5.0078e+05,3.8799e+06,-1e+05
53.884,5.0478e+05,3.8799e+06,-1e+05
53.729,5.0878e+05,3.8799e+06,-1e+05
53.598,5.1278e+05,3.8799e+06,-1e+05
53.48,5.1678e+05,3.8799e+06,-1e+05
53.4,5.2078e+05,3.8799e+06,-1e+05
53.335,5.2478e+05,3.8799e+06,-1e+05
53.317,5.2878e+05,3.8799e+06,-1e+05
53.337,5.3278e+05,3.8799e+06,-1e+05
53.391,5.3678e+05,3.8799e+06,-1e+05
53.498,5.4078e+05,3.8799e+06,-1e+05
53.631,5.4478e+05,3.8799e+06,-1e+05
53.824,5.4878e+05,3.8799e+06,-1e+05
54.074,5.5278e+05,3.8799e+06,-1e+05
54.379,5.5678e+05,3.8799e+06,-1e+05
54.785,5.6078e+05,3.8799e+06,-1e+05
55.256,5.6478e+05,3.8799e+06,-1e+05
55.77,5.6878e+05,3.8799e+06,-1e+05
