"None","Points:0","Points:1","Points:2"
62.835,4.8878e+05,3.8799e+06,-80000
61.709,4.9278e+05,3.8799e+06,-80000
60.878,4.9678e+05,3.8799e+06,-80000
60.057,5.0078e+05,3.8799e+06,-80000
59.309,5.0478e+05,3.8799e+06,-80000
58.753,5.0878e+05,3.8799e+06,-80000
58.38,5.1278e+05,3.8799e+06,-80000
58.042,5.1678e+05,3.8799e+06,-80000
57.814,5.2078e+05,3.8799e+06,-80000
57.615,5.2478e+05,3.8799e+06,-80000
57.491,5.2878e+05,3.8799e+06,-80000
57.433,5.3278e+05,3.8799e+06,-80000
57.39,5.3678e+05,3.8799e+06,-80000
57.366,5.4078e+05,3.8799e+06,-80000
57.435,5.4478e+05,3.8799e+06,-80000
57.496,5.4878e+05,3.8799e+06,-80000
57.617,5.5278e+05,3.8799e+06,-80000
57.789,5.5678e+05,3.8799e+06,-80000
58.006,5.6078e+05,3.8799e+06,-80000
58.257,5.6478e+05,3.8799e+06,-80000
58.522,5.6878e+05,3.8799e+06,-80000
58.896,5.7278e+05,3.8799e+06,-80000
59.326,5.7678e+05,3.8799e+06,-80000
59.805,5.8078e+05,3.8799e+06,-80000
60.401,5.8478e+05,3.8799e+06,-80000
61.083,5.8878e+05,3.8799e+06,-80000
61.808,5.9278e+05,3.8799e+06,-80000
62.754,5.9678e+05,3.8799e+06,-80000
63.777,6.0078e+05,3.8799e+06,-80000
64.847,6.0478e+05,3.8799e+06,-80000
66.133,6.0878e+05,3.8799e+06,-80000
67.632,6.1278e+05,3.8799e+06,-80000
69.22,6.1678e+05,3.8799e+06,-80000
70.809,6.2078e+05,3.8799e+06,-80000
72.521,6.2478e+05,3.8799e+06,-80000
74.137,6.2878e+05,3.8799e+06,-80000
75.683,6.3278e+05,3.8799e+06,-80000
76.818,6.3678e+05,3.8799e+06,-80000
77.567,6.4078e+05,3.8799e+06,-80000
77.954,6.4478e+05,3.8799e+06,-80000
77.911,6.4878e+05,3.8799e+06,-80000
77.374,6.5278e+05,3.8799e+06,-80000
76.388,6.5678e+05,3.8799e+06,-80000
75.139,6.6078e+05,3.8799e+06,-80000
73.775,6.6478e+05,3.8799e+06,-80000
72.18,6.6878e+05,3.8799e+06,-80000
70.732,6.7278e+05,3.8799e+06,-80000
69.243,6.7678e+05,3.8799e+06,-80000
67.992,6.8078e+05,3.8799e+06,-80000
66.909,6.8478e+05,3.8799e+06,-80000
65.94,6.8878e+05,3.8799e+06,-80000
65.09,6.9278e+05,3.8799e+06,-80000
56.869,4.1278e+05,3.8839e+06,-80000
57.512,4.1678e+05,3.8839e+06,-80000
58.18,4.2078e+05,3.8839e+06,-80000
58.525,4.2478e+05,3.8839e+06,-80000
58.582,4.2878e+05,3.8839e+06,-80000
58.199,4.3278e+05,3.8839e+06,-80000
57.974,4.3678e+05,3.8839e+06,-80000
57.861,4.4078e+05,3.8839e+06,-80000
58.067,4.4478e+05,3.8839e+06,-80000
58.651,4.4878e+05,3.8839e+06,-80000
59.944,4.5278e+05,3.8839e+06,-80000
61.447,4.5678e+05,3.8839e+06,-80000
63.057,4.6078e+05,3.8839e+06,-80000
64.327,4.6478e+05,3.8839e+06,-80000
65.343,4.6878e+05,3.8839e+06,-80000
66.256,4.7278e+05,3.8839e+06,-80000
65.274,4.7678e+05,3.8839e+06,-80000
63.985,4.8078e+05,3.8839e+06,-80000
62.781,4.8478e+05,3.8839e+06,-80000
61.52,4.8878e+05,3.8839e+06,-80000
60.617,4.9278e+05,3.8839e+06,-80000
59.819,4.9678e+05,3.8839e+06,-80000
59.281,5.0078e+05,3.8839e+06,-80000
58.687,5.0478e+05,3.8839e+06,-80000
58.243,5.0878e+05,3.8839e+06,-80000
57.969,5.1278e+05,3.8839e+06,-80000
57.68,5.1678e+05,3.8839e+06,-80000
57.481,5.2078e+05,3.8839e+06,-80000
57.341,5.2478e+05,3.8839e+06,-80000
57.244,5.2878e+05,3.8839e+06,-80000
57.181,5.3278e+05,3.8839e+06,-80000
57.195,5.3678e+05,3.8839e+06,-80000
57.204,5.4078e+05,3.8839e+06,-80000
57.248,5.4478e+05,3.8839e+06,-80000
57.317,5.4878e+05,3.8839e+06,-80000
57.462,5.5278e+05,3.8839e+06,-80000
57.603,5.5678e+05,3.8839e+06,-80000
57.817,5.6078e+05,3.8839e+06,-80000
58.078,5.6478e+05,3.8839e+06,-80000
58.335,5.6878e+05,3.8839e+06,-80000
58.709,5.7278e+05,3.8839e+06,-80000
59.128,5.7678e+05,3.8839e+06,-80000
59.605,5.8078e+05,3.8839e+06,-80000
60.202,5.8478e+05,3.8839e+06,-80000
60.854,5.8878e+05,3.8839e+06,-80000
61.599,5.9278e+05,3.8839e+06,-80000
62.529,5.9678e+05,3.8839e+06,-80000
63.489,6.0078e+05,3.8839e+06,-80000
64.514,6.0478e+05,3.8839e+06,-80000
65.781,6.0878e+05,3.8839e+06,-80000
67.216,6.1278e+05,3.8839e+06,-80000
68.665,6.1678e+05,3.8839e+06,-80000
70.375,6.2078e+05,3.8839e+06,-80000
71.884,6.2478e+05,3.8839e+06,-80000
73.459,6.2878e+05,3.8839e+06,-80000
74.977,6.3278e+05,3.8839e+06,-80000
76.006,6.3678e+05,3.8839e+06,-80000
76.811,6.4078e+05,3.8839e+06,-80000
77.168,6.4478e+05,3.8839e+06,-80000
77.112,6.4878e+05,3.8839e+06,-80000
76.769,6.5278e+05,3.8839e+06,-80000
75.868,6.5678e+05,3.8839e+06,-80000
74.829,6.6078e+05,3.8839e+06,-80000
73.505,6.6478e+05,3.8839e+06,-80000
71.981,6.6878e+05,3.8839e+06,-80000
70.647,6.7278e+05,3.8839e+06,-80000
69.397,6.7678e+05,3.8839e+06,-80000
68.142,6.8078e+05,3.8839e+06,-80000
67.183,6.8478e+05,3.8839e+06,-80000
66.287,6.8878e+05,3.8839e+06,-80000
65.442,6.9278e+05,3.8839e+06,-80000
59.252,4.1278e+05,3.8879e+06,-80000
59.879,4.1678e+05,3.8879e+06,-80000
60.183,4.2078e+05,3.8879e+06,-80000
60.212,4.2478e+05,3.8879e+06,-80000
59.888,4.2878e+05,3.8879e+06,-80000
59.629,4.3278e+05,3.8879e+06,-80000
58.988,4.3678e+05,3.8879e+06,-80000
58.797,4.4078e+05,3.8879e+06,-80000
59.759,4.4478e+05,3.8879e+06,-80000
60.757,4.4878e+05,3.8879e+06,-80000
62.771,4.5278e+05,3.8879e+06,-80000
63.302,4.5678e+05,3.8879e+06,-80000
64.409,4.6078e+05,3.8879e+06,-80000
65.138,4.6478e+05,3.8879e+06,-80000
65.222,4.6878e+05,3.8879e+06,-80000
64.95,4.7278e+05,3.8879e+06,-80000
63.8,4.7678e+05,3.8879e+06,-80000
62.309,4.8078e+05,3.8879e+06,-80000
61.011,4.8478e+05,3.8879e+06,-80000
59.936,4.8878e+05,3.8879e+06,-80000
59.322,4.9278e+05,3.8879e+06,-80000
58.844,4.9678e+05,3.8879e+06,-80000
58.556,5.0078e+05,3.8879e+06,-80000
58.143,5.0478e+05,3.8879e+06,-80000
57.823,5.0878e+05,3.8879e+06,-80000
57.549,5.1278e+05,3.8879e+06,-80000
57.377,5.1678e+05,3.8879e+06,-80000
57.207,5.2078e+05,3.8879e+06,-80000
57.1,5.2478e+05,3.8879e+06,-80000
57.056,5.2878e+05,3.8879e+06,-80000
57.004,5.3278e+05,3.8879e+06,-80000
57.023,5.3678e+05,3.8879e+06,-80000
57.032,5.4078e+05,3.8879e+06,-80000
57.116,5.4478e+05,3.8879e+06,-80000
57.212,5.4878e+05,3.8879e+06,-80000
57.339,5.5278e+05,3.8879e+06,-80000
57.506,5.5678e+05,3.8879e+06,-80000
57.727,5.6078e+05,3.8879e+06,-80000
57.982,5.6478e+05,3.8879e+06,-80000
58.275,5.6878e+05,3.8879e+06,-80000
58.634,5.7278e+05,3.8879e+06,-80000
59.102,5.7678e+05,3.8879e+06,-80000
59.608,5.8078e+05,3.8879e+06,-80000
60.201,5.8478e+05,3.8879e+06,-80000
60.862,5.8878e+05,3.8879e+06,-80000
