"None","Points:0","Points:1","Points:2"
59.566,5.5278e+05,4.0519e+06,-1.7816e+05
53.271,5.5278e+05,4.0559e+06,-1.7816e+05
46.43,5.5278e+05,4.0599e+06,-1.7816e+05
40.901,5.5278e+05,4.0639e+06,-1.7816e+05
38.869,5.5278e+05,4.0679e+06,-1.7816e+05
38.176,5.5278e+05,4.0719e+06,-1.7816e+05
37.633,5.5278e+05,4.0759e+06,-1.7816e+05
37.743,5.5278e+05,4.0799e+06,-1.7816e+05
37.797,5.5278e+05,4.0839e+06,-1.7816e+05
37.726,5.5278e+05,4.0879e+06,-1.7816e+05
38.038,5.5278e+05,4.0919e+06,-1.7816e+05
38.027,5.5278e+05,4.0959e+06,-1.7816e+05
77.158,5.5278e+05,3.8639e+06,-1.7534e+05
76.232,5.5278e+05,3.8679e+06,-1.7534e+05
75.063,5.5278e+05,3.8719e+06,-1.7534e+05
73.839,5.5278e+05,3.8759e+06,-1.7534e+05
72.416,5.5278e+05,3.8799e+06,-1.7534e+05
71.048,5.5278e+05,3.8839e+06,-1.7534e+05
69.372,5.5278e+05,3.8879e+06,-1.7534e+05
67.709,5.5278e+05,3.8919e+06,-1.7534e+05
66.47,5.5278e+05,3.8959e+06,-1.7534e+05
65.35,5.5278e+05,3.8999e+06,-1.7534e+05
65.496,5.5278e+05,3.9039e+06,-1.7534e+05
67.161,5.5278e+05,3.9079e+06,-1.7534e+05
69.486,5.5278e+05,3.9119e+06,-1.7534e+05
73.796,5.5278e+05,3.9159e+06,-1.7534e+05
80.064,5.5278e+05,3.9199e+06,-1.7534e+05
86.397,5.5278e+05,3.9239e+06,-1.7534e+05
90.41,5.5278e+05,3.9279e+06,-1.7534e+05
88.108,5.5278e+05,3.9319e+06,-1.7534e+05
75.12,5.5278e+05,3.9359e+06,-1.7534e+05
60.686,5.5278e+05,3.9399e+06,-1.7534e+05
56.897,5.5278e+05,3.9439e+06,-1.7534e+05
55.647,5.5278e+05,3.9479e+06,-1.7534e+05
72.281,5.5278e+05,3.9519e+06,-1.7534e+05
